,fuente,registros por fuente,fecha de actualización
0,CONABIP,2010,2022-08-15 02:10:37.184352
1,DNPyM,1048,2022-08-15 02:10:37.184352
2,INCAA / SInCA,329,2022-08-15 02:10:37.184352
3,Municipalidad de Santa Fe - Red de Ciudades Creativas,37,2022-08-15 02:10:37.184352
4,RCC- Córdoba,31,2022-08-15 02:10:37.184352
5,Gobierno de la Provincia,14,2022-08-15 02:10:37.184352
6,RCC,10,2022-08-15 02:10:37.184352
7,Secretaria de Cultura Provincial,6,2022-08-15 02:10:37.184352
8,Red de Espacios Culturales Vicente López,4,2022-08-15 02:10:37.184352
9,Municipalidad de Río Gallegos - Red de Ciudades Creativas,4,2022-08-15 02:10:37.184352
10,Gobierno de la Provincia de Mendoza,4,2022-08-15 02:10:37.184352
11,Área Gestión Cultural de la Municipalidad de Colonia Caroya,4,2022-08-15 02:10:37.184352
12,Gobierno de la Provincia de Jujuy,4,2022-08-15 02:10:37.184352
13,Gobierno de la Provincia de San Juan,3,2022-08-15 02:10:37.184352
14,Gobierno de la Provincia de Chubut / SInCA 2013,3,2022-08-15 02:10:37.184352
15,Dirección de Cultura de Villa Allende,2,2022-08-15 02:10:37.184352
16,Municipalidad de Puerto Madryn,2,2022-08-15 02:10:37.184352
17,SInCA,1,2022-08-15 02:10:37.184352
18,Gobierno de la Provincia de Salta,1,2022-08-15 02:10:37.184352
19,CNMLH - Ente Cultural de Tucumán,1,2022-08-15 02:10:37.184352
20,Gobierno de la Provincia de La Pampa,1,2022-08-15 02:10:37.184352
21,Gobierno de la Provincia de Neuquén,1,2022-08-15 02:10:37.184352
22,Gobierno de la provincia,1,2022-08-15 02:10:37.184352
23,Gobierno de la Provincia de La Rioja,1,2022-08-15 02:10:37.184352
24,Secretaria de Cultura del Municipio de Esteban Echeverría,1,2022-08-15 02:10:37.184352
25,Dirección de Cultura y de Educación de la Municipalidad de Unquillo,1,2022-08-15 02:10:37.184352
26,Dirección Provincial de Patrimonio Cultural - Enlace SInCA,1,2022-08-15 02:10:37.184352
27,CNMLH - Enlace SInCA,1,2022-08-15 02:10:37.184352
28,UNLA,1,2022-08-15 02:10:37.184352
29,Gob. Pcia.,1,2022-08-15 02:10:37.184352
