provincia,Bibliotecas Populares,Espacios de Exhibición Patrimonial,Salas de cine,Registros totales por provincia,fecha de actualización
Buenos Aires,543,152,106,801,2022-08-15 02:10:37.223839
Catamarca,38,32,4,74,2022-08-15 02:10:37.223839
Chaco,70,33,4,107,2022-08-15 02:10:37.223839
Chubut,48,45,9,102,2022-08-15 02:10:37.223839
Ciudad Autónoma de Buenos Aires,43,132,35,210,2022-08-15 02:10:37.223839
Corrientes,58,14,8,80,2022-08-15 02:10:37.223839
Córdoba,185,126,35,346,2022-08-15 02:10:37.223839
Entre Ríos,58,57,13,128,2022-08-15 02:10:37.223839
Formosa,25,7,2,34,2022-08-15 02:10:37.223839
Jujuy,40,47,4,91,2022-08-15 02:10:37.223839
La Pampa,72,45,6,123,2022-08-15 02:10:37.223839
La Rioja,24,17,5,46,2022-08-15 02:10:37.223839
Mendoza,67,63,16,146,2022-08-15 02:10:37.223839
Misiones,40,32,6,78,2022-08-15 02:10:37.223839
Neuquén,70,39,5,114,2022-08-15 02:10:37.223839
Río Negro,66,19,7,92,2022-08-15 02:10:37.223839
Salta,64,36,10,110,2022-08-15 02:10:37.223839
San Juan,54,23,6,83,2022-08-15 02:10:37.223839
San Luis,45,31,4,80,2022-08-15 02:10:37.223839
Santa Cruz,21,20,5,46,2022-08-15 02:10:37.223839
Santa Fé,273,162,23,458,2022-08-15 02:10:37.223839
Santiago del Estero,67,10,5,82,2022-08-15 02:10:37.223839
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",9,14,3,26,2022-08-15 02:10:37.223839
Tucumán,37,26,8,71,2022-08-15 02:10:37.223839
Registros totales por provincia,2017,1182,329,3528,2022-08-15 02:10:37.223839
